RadTrack,Copyright 2012-2014 by RadiaBeam Technologies LLC - All rights reserved (C)
 p0 [eV],Q [C],mass [eV]
 200000000.0,1e-09,510998.909848
 x,xp,y,yp,s,dp
 [m],[rad],[m],[rad],[m],[rad]
-3.381353146759e-11,3.200269207712e-10,4.852206800040e-11,9.999999838723e-04,1.312883333431e-10,3.580594789900e-12
-7.506599977074e-04,7.108106288876e-03,1.553830407781e-03,2.717249887701e-03,-2.568126084740e-04,1.575914147349e-03
9.989892942622e-04,-1.058691553246e-02,7.154360511956e-04,2.243713975800e-03,-1.396523928947e-03,1.791927471980e-03
3.900416132883e-05,9.265762893976e-04,-4.552972251419e-04,2.831877165287e-03,1.397390874952e-03,-4.485260120329e-05
-5.589754505772e-05,3.552702591776e-04,-6.291490535339e-04,-3.966793867612e-04,-1.201259776723e-03,1.277809543939e-03
-1.256570619742e-03,1.193644444399e-02,-2.039881819886e-03,2.387434622103e-03,2.970494609513e-04,3.379963013778e-04
1.918200214627e-05,2.707886996493e-05,-6.078379342739e-04,1.128810153932e-03,-5.386779484268e-04,3.560705242040e-04
1.097053534413e-03,-1.047561213691e-02,1.194382606929e-04,-4.576181801274e-05,1.810737253654e-03,9.660816554460e-04
-9.152507751076e-04,1.114884586156e-02,-2.288364302944e-04,1.214775667601e-03,-1.702615606856e-04,-4.421307576821e-04
-3.748831741239e-04,3.039970876232e-03,-1.253124369221e-03,2.067900710277e-03,3.119288320451e-04,-2.191844866677e-03
1.672764539419e-03,-1.591918581918e-02,8.699641902556e-04,-2.156416956986e-04,1.047412596308e-03,5.907680819771e-04
-2.638371282591e-04,1.286038983842e-03,1.271515867076e-03,1.662439530744e-03,-1.338459835792e-03,4.029928555436e-04
-1.221608425093e-03,1.220022658060e-02,1.014012973395e-03,9.260168765722e-04,-1.134294317868e-03,1.201939734380e-03
-5.592778937097e-04,6.115902515540e-03,-2.392402660403e-03,5.094951733667e-04,-4.685277025854e-04,-1.804131485914e-04
1.278564656779e-03,-1.279146811911e-02,-3.560111471253e-04,7.274961860885e-04,-1.654705148821e-03,-9.003262644061e-04
-2.580264317461e-03,2.605351452112e-02,-1.159386969714e-03,2.451602994159e-03,2.562055956470e-04,7.883718858393e-04
1.295207282964e-04,-1.948890400037e-03,1.012656965732e-03,1.436435475756e-03,1.371176029537e-05,-1.463824795111e-03
-5.370010109429e-04,4.674812416953e-03,1.996686874391e-03,5.988788102882e-04,-1.239253469875e-03,-2.742480233409e-04
-9.995740212017e-04,9.965374497285e-03,-9.717300793365e-05,1.604136140085e-03,-9.256632153842e-06,1.392331763279e-03
-2.325114744587e-04,2.326573546502e-03,-9.177680651588e-04,1.336926671631e-03,-1.705555778582e-03,-2.139081739207e-04
1.314876047631e-03,-1.417368804078e-02,1.234300135515e-03,1.091274991480e-03,7.854928067905e-05,2.382584468349e-03
4.138085302764e-04,-4.916382475822e-03,-1.086370593005e-03,1.875376104413e-03,-6.540131901327e-04,-5.474457644646e-04
1.044091961879e-03,-1.171939132798e-02,-1.535429625033e-03,-5.382883249779e-04,-6.209461191439e-05,-1.001339617865e-03
-8.346407023308e-04,7.562084058043e-03,-2.095399513769e-04,1.416981011716e-03,-1.129262846731e-03,-5.102747539077e-05
-7.002946268506e-04,5.062156123252e-03,-5.440316555576e-04,1.238171998341e-03,1.556406245139e-04,5.535561775810e-04
-2.068528321603e-03,1.987636600598e-02,2.143504953009e-05,1.759164672995e-03,7.517289243161e-04,7.003378933991e-05
7.310079148280e-04,-7.350224765393e-03,-6.406830175792e-04,1.270956906634e-03,3.728862462665e-04,4.310711779792e-04
-1.490353067210e-04,2.090108413622e-03,-5.849316918502e-05,6.980327535417e-04,-7.956901497419e-04,-4.248207567204e-04
1.256610756400e-03,-1.446223891086e-02,2.045491154883e-03,1.596690884917e-03,6.522475165432e-04,-7.022177307054e-05
1.202998825688e-03,-1.245154583200e-02,9.899831009743e-04,7.782541434814e-04,1.210313037317e-03,-2.463413977361e-04
6.482476235464e-04,-4.826510189147e-03,-7.292340818470e-04,2.552749742803e-03,7.049323863021e-04,6.554094630308e-04
1.755954898416e-03,-1.698220558037e-02,7.123314643935e-04,1.030954546042e-03,-6.219090498091e-04,-9.963666402453e-04
1.065016718529e-03,-1.027630900761e-02,-9.728589485352e-04,1.281914787709e-03,-1.951703300202e-03,1.472981593696e-03
2.658306950082e-03,-2.690345805623e-02,-6.857469860118e-04,1.796341351989e-04,3.037059909546e-04,-1.397501650956e-04
-1.104427789513e-05,7.744873153228e-04,4.947484159306e-04,1.710182365708e-04,1.709201408079e-03,2.037590058594e-03
-1.493079927681e-03,1.446493800391e-02,-8.225652372290e-04,5.137987917518e-04,1.473921154451e-04,6.479228304926e-04
-7.233477217859e-04,8.194866474425e-03,-2.880446273619e-05,2.238278477183e-03,-3.734521229423e-04,5.170590561290e-04
4.803166072151e-04,-4.932923704921e-03,7.052735251470e-04,1.055713535829e-04,2.302393146508e-03,4.601061769031e-04
4.686401916594e-04,-5.641140133611e-03,8.816446030394e-05,9.147207273893e-04,-1.392085543799e-05,1.255937168827e-03
-1.351125357665e-03,1.361790062135e-02,1.056424475233e-03,2.306866460509e-03,-9.850926232812e-04,3.890536117482e-04
1.164525436785e-03,-1.066602961967e-02,-9.500594858527e-04,1.729266548980e-03,-5.824462917176e-04,1.008827206862e-03
-9.444315566887e-04,8.010280008699e-03,-1.004407662909e-03,6.309399564280e-04,-1.155700386885e-04,-1.572877434023e-03
-8.779023868326e-04,1.075810716490e-02,7.020258687857e-04,1.905822694422e-03,6.555689029291e-04,-9.763739517998e-04
1.415632064930e-03,-1.356801952456e-02,4.047603799494e-04,-4.749810913689e-04,1.662055707801e-03,1.026504260403e-03
-4.268886362078e-04,5.526545183362e-03,-7.539832578717e-04,1.422002264854e-03,-1.505565133112e-03,-1.051668669538e-03
2.104941087557e-03,-1.972359605450e-02,8.110877049534e-05,-7.851034045897e-04,1.447216895356e-03,-5.524165481724e-04
-1.657935014016e-03,1.524917137098e-02,-2.141999573385e-04,1.221098800280e-03,-6.366391227802e-04,-2.440298409520e-03
6.663842967031e-04,-5.914869963760e-03,1.343688867536e-03,3.544105950029e-04,-5.998418208095e-04,6.494754181775e-04
-4.120028579178e-04,2.714661192178e-03,-1.776877709493e-04,-3.903961345111e-04,1.589264013761e-03,-1.549244825248e-03
-1.069894997217e-03,1.183957773905e-02,-1.980595425524e-04,1.214388615856e-03,-1.495373867662e-03,2.222353452445e-03
-2.921258473667e-04,2.171517078705e-03,1.761033658152e-03,1.642336646652e-03,-4.392138576635e-04,-1.040621250707e-03
-1.157480517886e-03,1.281324618849e-02,7.389529495057e-04,1.291283128090e-03,-5.731314951502e-04,1.442123131181e-03
