Created from SDDS file: BYBL_Ramp.param
No description	
No description	

Table 1
ElementName	ElementParameter	ParameterValue	ElementType	ElementOccurence	ElementGroup	
MK1	DX	0	MARK	1	""	
MK1	DY	0	MARK	1	""	
MK1	FITPOINT	0	MARK	1	""	
DA	L	3.31	DRIF	1	""	
DA	ORDER	0	DRIF	1	""	
MON	L	1e-006	MONI	1	""	
MON	DX	0	MONI	1	""	
MON	DY	0	MONI	1	""	
MON	WEIGHT	1	MONI	1	""	
MON	TILT	0	MONI	1	""	
MON	XCALIBRATION	1	MONI	1	""	
MON	YCALIBRATION	1	MONI	1	""	
MON	ORDER	0	MONI	1	""	
MON	CO_FITPOINT	0	MONI	1	""	
BX	L	1e-006	HKICK	1	""	
BX	KICK	1e-009	HKICK	1	""	
BX	TILT	0	HKICK	1	""	
BX	B2	0	HKICK	1	""	
BX	CALIBRATION	1	HKICK	1	""	
BX	EDGE_EFFECTS	0	HKICK	1	""	
BX	ORDER	0	HKICK	1	""	
BX	STEERING	1	HKICK	1	""	
BY	L	1e-006	VKICK	1	""	
BY	KICK	1e-009	VKICK	1	""	
BY	TILT	0	VKICK	1	""	
BY	B2	0	VKICK	1	""	
BY	CALIBRATION	1	VKICK	1	""	
BY	EDGE_EFFECTS	0	VKICK	1	""	
BY	ORDER	0	VKICK	1	""	
BY	STEERING	1	VKICK	1	""	
DEX	L	1	DRIF	1	""	
DEX	ORDER	0	DRIF	1	""	
QF	L	0.3	QUAD	1	""	
QF	K1	1.95	QUAD	1	""	
QF	TILT	0	QUAD	1	""	
QF	FFRINGE	0	QUAD	1	""	
QF	DX	0	QUAD	1	""	
QF	DY	0	QUAD	1	""	
QF	DZ	0	QUAD	1	""	
QF	FSE	0	QUAD	1	""	
QF	HKICK	0	QUAD	1	""	
QF	VKICK	0	QUAD	1	""	
QF	HCALIBRATION	1	QUAD	1	""	
QF	VCALIBRATION	1	QUAD	1	""	
QF	HSTEERING	0	QUAD	1	""	
QF	VSTEERING	0	QUAD	1	""	
QF	ORDER	0	QUAD	1	""	
DB	L	0.4	DRIF	1	""	
DB	ORDER	0	DRIF	1	""	
APERTURE	L	0	ECOL	1	""	
APERTURE	X_MAX	0.02	ECOL	1	""	
APERTURE	Y_MAX	0.012	ECOL	1	""	
APERTURE	DX	0	ECOL	1	""	
APERTURE	DY	0	ECOL	1	""	
APERTURE	EXPONENT	2	ECOL	1	""	
BDMAG	L	1.3	CSBEND	1	""	
BDMAG	ANGLE	0.146452	CSBEND	1	""	
BDMAG	K1	-0.555089	CSBEND	1	""	
BDMAG	K2	-4.1	CSBEND	1	""	
BDMAG	K3	0	CSBEND	1	""	
BDMAG	K4	0	CSBEND	1	""	
BDMAG	K5	0	CSBEND	1	""	
BDMAG	K6	0	CSBEND	1	""	
BDMAG	K7	0	CSBEND	1	""	
BDMAG	K8	0	CSBEND	1	""	
BDMAG	E1	0.073226	CSBEND	1	""	
BDMAG	E2	0.073226	CSBEND	1	""	
BDMAG	TILT	0	CSBEND	1	""	
BDMAG	H1	0	CSBEND	1	""	
BDMAG	H2	0	CSBEND	1	""	
BDMAG	HGAP	0	CSBEND	1	""	
BDMAG	FINT	0.5	CSBEND	1	""	
BDMAG	DX	0	CSBEND	1	""	
BDMAG	DY	0	CSBEND	1	""	
BDMAG	DZ	0	CSBEND	1	""	
BDMAG	FSE	0	CSBEND	1	""	
BDMAG	ETILT	0	CSBEND	1	""	
BDMAG	N_KICKS	25	CSBEND	1	""	
BDMAG	NONLINEAR	1	CSBEND	1	""	
BDMAG	SYNCH_RAD	1	CSBEND	1	""	
BDMAG	EDGE1_EFFECTS	1	CSBEND	1	""	
BDMAG	EDGE2_EFFECTS	1	CSBEND	1	""	
BDMAG	EDGE_ORDER	1	CSBEND	1	""	
BDMAG	INTEGRATION_ORDER	2	CSBEND	1	""	
BDMAG	EDGE1_KICK_LIMIT	-1	CSBEND	1	""	
BDMAG	EDGE2_KICK_LIMIT	-1	CSBEND	1	""	
BDMAG	KICK_LIMIT_SCALING	0	CSBEND	1	""	
BDMAG	USE_BN	0	CSBEND	1	""	
BDMAG	EXPANSION_ORDER	0	CSBEND	1	""	
BDMAG	B1	0	CSBEND	1	""	
BDMAG	B2	0	CSBEND	1	""	
BDMAG	B3	0	CSBEND	1	""	
BDMAG	B4	0	CSBEND	1	""	
BDMAG	B5	0	CSBEND	1	""	
BDMAG	B6	0	CSBEND	1	""	
BDMAG	B7	0	CSBEND	1	""	
BDMAG	B8	0	CSBEND	1	""	
BDMAG	ISR	1	CSBEND	1	""	
BDMAG	ISR1PART	1	CSBEND	1	""	
BDMAG	SQRT_ORDER	0	CSBEND	1	""	
BDMAG	USE_RAD_DIST	0	CSBEND	1	""	
BDMAG	ADD_OPENING_ANGLE	1	CSBEND	1	""	
APERTURE	L	0	ECOL	2	""	
APERTURE	X_MAX	0.02	ECOL	2	""	
APERTURE	Y_MAX	0.012	ECOL	2	""	
APERTURE	DX	0	ECOL	2	""	
APERTURE	DY	0	ECOL	2	""	
APERTURE	EXPONENT	2	ECOL	2	""	
DC	L	0.75	DRIF	1	""	
DC	ORDER	0	DRIF	1	""	
QG	L	0.2	QUAD	1	""	
QG	K1	1.43305	QUAD	1	""	
QG	TILT	0	QUAD	1	""	
QG	FFRINGE	0	QUAD	1	""	
QG	DX	0	QUAD	1	""	
QG	DY	0	QUAD	1	""	
QG	DZ	0	QUAD	1	""	
QG	FSE	0	QUAD	1	""	
QG	HKICK	0	QUAD	1	""	
QG	VKICK	0	QUAD	1	""	
QG	HCALIBRATION	1	QUAD	1	""	
QG	VCALIBRATION	1	QUAD	1	""	
QG	HSTEERING	0	QUAD	1	""	
QG	VSTEERING	0	QUAD	1	""	
QG	ORDER	0	QUAD	1	""	
DG	L	0.61	DRIF	1	""	
